train_end,test_start,test_end,auc,pr_auc,hit_rate,false_alarm_rate,n_test
2006-04-04,2006-04-11,2006-04-25,,,,0.3333333333333333,9
2006-04-11,2006-04-18,2006-05-02,,,,0.0,9
2006-04-18,2006-04-25,2006-05-09,0.3125,0.05555555555555555,0.0,0.0,9
2006-04-25,2006-05-02,2006-05-16,0.2857142857142857,0.1111111111111111,0.0,0.0,9
2006-05-02,2006-05-09,2006-05-23,0.2857142857142857,0.1111111111111111,0.0,0.0,9
2006-05-09,2006-05-16,2006-05-30,0.6428571428571429,0.25,0.0,0.2857142857142857,9
2006-05-16,2006-05-23,2006-06-06,0.6785714285714286,0.2708333333333333,0.5,0.2857142857142857,9
2006-05-23,2006-05-30,2006-06-13,0.7142857142857143,0.2875,0.5,0.14285714285714285,9
2006-05-30,2006-06-06,2006-06-20,0.625,0.125,0.0,0.375,9
2006-06-06,2006-06-13,2006-06-27,,,,0.4444444444444444,9
2006-06-13,2006-06-20,2006-07-04,0.875,0.25,1.0,0.375,9
2006-06-20,2006-06-27,2006-07-11,1.0,1.0,0.0,0.0,9
2006-06-27,2006-07-04,2006-07-18,0.5,0.5555555555555556,0.0,0.0,9
2006-07-04,2006-07-11,2006-07-25,0.5,0.5555555555555556,0.0,0.0,9
2006-07-11,2006-07-18,2006-08-01,0.5,0.6111111111111112,0.0,0.0,9
2006-07-18,2006-07-25,2006-08-08,0.5,0.6666666666666666,0.0,0.0,9
2006-07-25,2006-08-01,2006-08-15,0.5,0.6111111111111112,0.0,0.0,9
2006-08-01,2006-08-08,2006-08-22,0.5,0.1,0.0,0.0,9
2006-08-08,2006-08-15,2006-08-29,,,,0.0,9
2006-08-15,2006-08-22,2006-09-05,0.07142857142857145,0.1111111111111111,0.0,0.0,9
2006-08-22,2006-08-29,2006-09-12,0.5,0.30000000000000004,0.0,0.0,9
2006-08-29,2006-09-05,2006-09-19,0.35,0.5277777777777777,0.0,0.0,9
2006-09-05,2006-09-12,2006-09-26,0.7142857142857143,0.6666666666666666,0.0,0.0,9
2006-09-12,2006-09-19,2006-10-03,0.41666666666666663,0.24999999999999997,0.0,0.0,9
2006-09-19,2006-09-26,2006-10-10,0.5,0.17142857142857143,0.0,0.0,9
2006-09-26,2006-10-03,2006-10-17,0.2857142857142857,0.13888888888888887,0.0,0.0,9
2006-10-03,2006-10-10,2006-10-24,,,,0.0,9
2006-10-10,2006-10-17,2006-10-31,0.1875,0.05555555555555555,0.0,0.0,9
2006-10-17,2006-10-24,2006-11-07,0.5357142857142857,0.42142857142857143,0.0,0.0,9
2006-10-24,2006-10-31,2006-11-14,0.4642857142857143,0.18055555555555552,0.0,0.0,9
2006-10-31,2006-11-07,2006-11-21,0.25,0.0625,0.0,0.0,9
2006-11-07,2006-11-14,2006-11-28,,,,0.0,9
2006-11-14,2006-11-21,2006-12-05,0.7142857142857143,0.6333333333333333,0.0,0.0,9
2006-11-21,2006-11-28,2006-12-12,0.5277777777777778,0.5625,0.0,0.0,9
2006-11-28,2006-12-05,2006-12-26,0.55,0.671031746031746,0.0,0.0,9
2006-12-05,2006-12-12,2007-01-02,0.8,0.73125,0.0,0.0,9
2006-12-12,2006-12-26,2007-01-09,0.8611111111111112,0.9484126984126984,0.0,0.0,9
2006-12-26,2007-01-02,2007-01-16,0.5249999999999999,0.4083333333333333,0.0,0.0,9
2007-01-02,2007-01-09,2007-01-23,0.7,0.519345238095238,0.0,0.0,9
2007-01-09,2007-01-16,2007-01-30,0.5,0.4232638888888889,0.0,0.0,9
2007-01-16,2007-01-23,2007-02-06,0.6111111111111113,0.7548611111111111,0.0,0.0,9
2007-01-23,2007-01-30,2007-02-13,0.4,0.6050793650793651,0.0,0.0,9
2007-01-30,2007-02-06,2007-02-20,0.4285714285714286,0.18154761904761904,0.0,0.0,9
2007-02-06,2007-02-13,2007-02-27,0.3571428571428572,0.1607142857142857,0.0,0.0,9
2007-02-13,2007-02-20,2007-03-06,0.49999999999999994,0.4065972222222223,0.0,0.0,9
2007-02-20,2007-02-27,2007-03-13,0.6428571428571428,0.9018140589569161,0.0,0.0,9
2007-02-27,2007-03-06,2007-03-20,0.14285714285714285,0.6004535147392289,0.0,0.0,9
2007-03-06,2007-03-13,2007-03-27,0.888888888888889,0.9436507936507936,0.0,0.0,9
2007-03-13,2007-03-20,2007-04-03,0.7222222222222223,0.8893849206349206,0.16666666666666666,0.0,9
2007-03-20,2007-03-27,2007-04-10,0.888888888888889,0.9553571428571429,0.8333333333333334,0.0,9
2007-03-27,2007-04-03,2007-04-17,0.6666666666666667,0.8426587301587302,0.0,0.0,9
2007-04-03,2007-04-10,2007-04-24,0.7,0.5041666666666667,0.0,0.0,9
2007-04-10,2007-04-17,2007-05-01,0.3888888888888889,0.2611111111111111,0.0,0.0,9
2007-04-17,2007-04-24,2007-05-08,0.75,0.8163095238095237,0.0,0.0,9
2007-04-24,2007-05-01,2007-05-15,0.8500000000000001,0.9196428571428572,0.0,0.0,9
2007-05-01,2007-05-08,2007-05-22,0.45,0.6001190476190477,0.0,0.0,9
2007-05-08,2007-05-15,2007-05-29,0.4285714285714286,0.18154761904761904,0.0,0.2857142857142857,9
2007-05-15,2007-05-22,2007-06-05,0.2777777777777778,0.23234126984126985,0.0,0.0,9
2007-05-22,2007-05-29,2007-06-12,0.4444444444444445,0.27142857142857146,0.3333333333333333,0.5,9
2007-05-29,2007-06-05,2007-06-19,0.35,0.5143353174603175,0.0,0.0,9
2007-06-05,2007-06-12,2007-06-26,0.25,0.3101686507936508,0.0,0.0,9
2007-06-12,2007-06-19,2007-07-03,0.5,0.6255555555555556,0.0,0.0,9
2007-06-19,2007-06-26,2007-07-10,0.8500000000000001,0.7666666666666666,0.0,0.0,9
2007-06-26,2007-07-03,2007-07-17,0.35714285714285715,0.1701388888888889,0.0,0.0,9
2007-07-03,2007-07-10,2007-07-24,0.75,0.16666666666666666,0.0,0.0,9
2007-07-10,2007-07-17,2007-07-31,0.625,0.125,0.0,0.0,9
2007-07-17,2007-07-24,2007-08-07,0.3333333333333333,0.24722222222222223,0.0,0.0,9
2007-07-24,2007-07-31,2007-08-14,0.4285714285714286,0.21180555555555555,0.0,0.0,9
2007-07-31,2007-08-07,2007-08-21,0.6666666666666667,0.5992063492063492,0.0,0.0,9
2007-08-07,2007-08-14,2007-08-28,0.625,0.125,0.0,0.0,9
2007-08-14,2007-08-21,2007-09-04,0.7777777777777779,0.46111111111111114,0.0,0.0,9
2007-08-21,2007-08-28,2007-09-11,0.7222222222222223,0.40555555555555556,0.0,0.0,9
2007-08-28,2007-09-04,2007-09-18,0.3888888888888889,0.25753968253968257,0.0,0.0,9
2007-09-04,2007-09-11,2007-09-25,0.625,0.125,0.0,0.0,9
2007-09-11,2007-09-18,2007-10-02,,,,0.0,9
2007-09-18,2007-09-25,2007-10-09,,,,0.0,9
2007-09-25,2007-10-02,2007-10-16,0.25,0.07142857142857142,0.0,0.0,9
2007-10-02,2007-10-09,2007-10-23,0.5,0.5868055555555556,0.0,0.0,9
2007-10-09,2007-10-16,2007-10-30,0.8571428571428572,0.7083333333333333,0.0,0.0,9
2007-10-16,2007-10-23,2007-11-06,1.0,1.0,0.0,0.0,9
2007-10-23,2007-10-30,2007-11-13,,,,0.0,9
2007-10-30,2007-11-06,2007-11-20,,,,0.0,9
2007-11-06,2007-11-13,2007-11-27,0.875,0.25,0.0,0.0,9
2007-11-13,2007-11-20,2007-12-04,0.375,0.08333333333333333,0.0,0.0,9
2007-11-20,2007-11-27,2007-12-11,0.375,0.08333333333333333,0.0,0.0,9
2007-11-27,2007-12-04,2007-12-18,,,,0.0,9
2007-12-04,2007-12-11,2008-01-01,,,,0.0,9
2007-12-11,2007-12-18,2008-01-08,0.7857142857142857,0.3333333333333333,0.0,0.0,9
2007-12-18,2008-01-01,2008-01-15,0.5555555555555556,0.37499999999999994,0.0,0.0,9
2008-01-01,2008-01-08,2008-01-22,0.2777777777777778,0.22777777777777777,0.0,0.0,9
2008-01-08,2008-01-15,2008-01-29,0.0,0.05555555555555555,0.0,0.0,9
2008-01-15,2008-01-22,2008-02-05,0.25,0.07142857142857142,0.0,0.0,9
2008-01-22,2008-01-29,2008-02-12,0.625,0.125,0.0,0.0,9
2008-01-29,2008-02-05,2008-02-19,0.75,0.16666666666666666,0.0,0.0,9
2008-02-05,2008-02-12,2008-02-26,,,,0.0,9
2008-02-12,2008-02-19,2008-03-04,,,,0.0,9
2008-02-19,2008-02-26,2008-03-11,,,,0.0,9
2008-02-26,2008-03-04,2008-03-18,,,,0.0,9
2008-03-04,2008-03-11,2008-03-25,,,,0.0,9
2008-03-11,2008-03-18,2008-04-01,,,,0.0,9
2008-03-18,2008-03-25,2008-04-08,,,,0.0,9
2008-03-25,2008-04-01,2008-04-15,,,,0.0,9
2008-04-01,2008-04-08,2008-04-22,,,,0.0,9
2008-04-08,2008-04-15,2008-04-29,,,,0.0,9
2008-04-15,2008-04-22,2008-05-06,,,,0.0,9
2008-04-22,2008-04-29,2008-05-13,,,,0.0,9
2008-04-29,2008-05-06,2008-05-20,,,,0.1111111111111111,9
2008-05-06,2008-05-13,2008-05-27,,,,0.0,9
2008-05-13,2008-05-20,2008-06-03,,,,0.0,9
2008-05-20,2008-05-27,2008-06-10,,,,0.0,9
2008-05-27,2008-06-03,2008-06-17,,,,0.0,9
2008-06-03,2008-06-10,2008-06-24,,,,0.0,9
2008-06-10,2008-06-17,2008-07-01,,,,0.1111111111111111,9
2008-06-17,2008-06-24,2008-07-08,,,,0.1111111111111111,9
2008-06-24,2008-07-01,2008-07-15,,,,0.1111111111111111,9
2008-07-01,2008-07-08,2008-07-22,,,,0.0,9
2008-07-08,2008-07-15,2008-07-29,,,,0.0,9
2008-07-15,2008-07-22,2008-08-05,,,,0.1111111111111111,9
2008-07-22,2008-07-29,2008-08-12,,,,0.1111111111111111,9
2008-07-29,2008-08-05,2008-08-19,,,,0.2222222222222222,9
2008-08-05,2008-08-12,2008-08-26,0.5,0.1,0.0,0.125,9
2008-08-12,2008-08-19,2008-09-02,0.375,0.08333333333333333,0.0,0.25,9
2008-08-19,2008-08-26,2008-09-09,0.125,0.0625,0.0,0.5,9
2008-08-26,2008-09-02,2008-09-16,,,,0.0,9
2008-09-02,2008-09-09,2008-09-23,,,,0.0,9
2008-09-09,2008-09-16,2008-09-30,,,,0.0,9
2008-09-16,2008-09-23,2008-10-07,,,,0.0,9
2008-09-23,2008-09-30,2008-10-14,,,,0.0,9
2008-09-30,2008-10-07,2008-10-21,,,,0.0,9
2008-10-07,2008-10-14,2008-10-28,,,,0.0,9
2008-10-14,2008-10-21,2008-11-04,,,,0.0,9
2008-10-21,2008-10-28,2008-11-11,,,,0.0,9
2008-10-28,2008-11-04,2008-11-18,,,,0.0,9
2008-11-04,2008-11-11,2008-11-25,,,,0.0,9
2008-11-11,2008-11-18,2008-12-02,,,,0.0,9
2008-11-18,2008-11-25,2008-12-09,,,,0.3333333333333333,9
2008-11-25,2008-12-02,2008-12-16,,,,0.3333333333333333,9
2008-12-02,2008-12-09,2008-12-30,0.7142857142857142,0.2875,0.5,0.14285714285714285,9
2008-12-09,2008-12-16,2009-01-06,0.7777777777777779,0.6555555555555556,0.6666666666666666,0.3333333333333333,9
2008-12-16,2008-12-30,2009-01-13,0.35,0.5717460317460317,0.4,0.5,9
2008-12-30,2009-01-06,2009-01-20,0.16666666666666666,0.5924603174603175,0.0,0.0,9
2009-01-06,2009-01-13,2009-01-27,0.21428571428571427,0.7075963718820861,0.0,0.0,9
2009-01-13,2009-01-20,2009-02-03,0.14285714285714285,0.6837868480725624,0.0,0.0,9
2009-01-20,2009-01-27,2009-02-10,0.21428571428571427,0.7075963718820861,0.0,0.0,9
2009-01-27,2009-02-03,2009-02-17,0.42857142857142855,0.6774943310657596,0.0,0.0,9
2009-02-03,2009-02-10,2009-02-24,0.4444444444444445,0.6704365079365079,0.0,0.0,9
2009-02-10,2009-02-17,2009-03-03,0.6111111111111112,0.794047619047619,0.16666666666666666,0.0,9
2009-02-17,2009-02-24,2009-03-10,0.22222222222222224,0.510515873015873,0.0,0.0,9
2009-02-24,2009-03-03,2009-03-17,0.6666666666666667,0.6630952380952381,0.16666666666666666,0.3333333333333333,9
2009-03-03,2009-03-10,2009-03-24,0.75,0.6266666666666666,0.2,0.25,9
2009-03-10,2009-03-17,2009-03-31,0.75,0.6266666666666666,0.8,0.25,9
2009-03-17,2009-03-24,2009-04-07,0.0,0.5647392290249433,0.14285714285714285,1.0,9
2009-03-24,2009-03-31,2009-04-14,0.14285714285714285,0.6837868480725624,0.0,0.0,9
2009-03-31,2009-04-07,2009-04-21,0.875,0.9852430555555556,0.625,0.0,9
2009-04-07,2009-04-14,2009-04-28,0.7777777777777778,0.8873015873015874,0.8333333333333334,0.3333333333333333,9
2009-04-14,2009-04-21,2009-05-05,0.7777777777777779,0.9104166666666667,0.8333333333333334,0.3333333333333333,9
2009-04-21,2009-04-28,2009-05-12,0.85,0.8839285714285714,1.0,0.8,9
2009-04-28,2009-05-05,2009-05-19,0.8333333333333333,0.8166666666666667,1.0,0.6666666666666666,9
2009-05-05,2009-05-12,2009-05-26,1.0,1.0,1.0,0.375,9
2009-05-12,2009-05-19,2009-06-02,,,,0.2222222222222222,9
2009-05-19,2009-05-26,2009-06-09,,,,0.4444444444444444,9
2009-05-26,2009-06-02,2009-06-16,,,,0.3333333333333333,9
2009-06-02,2009-06-09,2009-06-23,,,,0.0,9
2009-06-09,2009-06-16,2009-06-30,,,,0.0,9
2009-06-16,2009-06-23,2009-07-07,,,,0.0,9
2009-06-23,2009-06-30,2009-07-14,,,,0.0,9
2009-06-30,2009-07-07,2009-07-21,,,,0.0,9
2009-07-07,2009-07-14,2009-07-28,,,,0.0,9
2009-07-14,2009-07-21,2009-08-04,,,,0.0,9
2009-07-21,2009-07-28,2009-08-11,,,,0.0,9
2009-07-28,2009-08-04,2009-08-18,,,,0.0,9
2009-08-04,2009-08-11,2009-08-25,,,,0.1111111111111111,9
2009-08-11,2009-08-18,2009-09-01,,,,0.3333333333333333,9
2009-08-18,2009-08-25,2009-09-08,,,,0.3333333333333333,9
2009-08-25,2009-09-01,2009-09-15,,,,0.2222222222222222,9
2009-09-01,2009-09-08,2009-09-22,,,,0.0,9
2009-09-08,2009-09-15,2009-09-29,,,,0.0,9
2009-09-15,2009-09-22,2009-10-06,,,,0.0,9
2009-09-22,2009-09-29,2009-10-13,,,,0.0,9
2009-09-29,2009-10-06,2009-10-20,,,,0.0,9
2009-10-06,2009-10-13,2009-10-27,,,,0.0,9
2009-10-13,2009-10-20,2009-11-03,,,,0.0,9
2009-10-20,2009-10-27,2009-11-10,,,,0.0,9
2009-10-27,2009-11-03,2009-11-17,,,,0.0,9
2009-11-03,2009-11-10,2009-11-24,,,,0.0,9
2009-11-10,2009-11-17,2009-12-01,,,,0.1111111111111111,9
2009-11-17,2009-11-24,2009-12-08,,,,0.1111111111111111,9
2009-11-24,2009-12-01,2009-12-15,,,,0.1111111111111111,9
2009-12-01,2009-12-08,2009-12-29,,,,0.0,9
2009-12-08,2009-12-15,2010-01-05,,,,0.0,9
2009-12-15,2009-12-29,2010-01-12,,,,0.3333333333333333,9
2009-12-29,2010-01-05,2010-01-19,,,,0.4444444444444444,9
2010-01-05,2010-01-12,2010-01-26,,,,0.4444444444444444,9
2010-01-12,2010-01-19,2010-02-02,,,,0.1111111111111111,9
2010-01-19,2010-01-26,2010-02-09,,,,0.0,9
2010-01-26,2010-02-02,2010-02-16,,,,0.0,9
2010-02-02,2010-02-09,2010-02-23,,,,0.0,9
2010-02-09,2010-02-16,2010-03-02,,,,0.0,9
2010-02-16,2010-02-23,2010-03-09,,,,0.0,9
2010-02-23,2010-03-02,2010-03-16,,,,0.0,9
2010-03-02,2010-03-09,2010-03-23,,,,0.0,9
2010-03-09,2010-03-16,2010-03-30,,,,0.0,9
2010-03-16,2010-03-23,2010-04-06,,,,0.0,9
2010-03-23,2010-03-30,2010-04-13,0.875,0.25,0.0,0.0,9
2010-03-30,2010-04-06,2010-04-20,0.875,0.25,0.0,0.0,9
2010-04-06,2010-04-13,2010-04-27,1.0,1.0,0.0,0.0,9
2010-04-13,2010-04-20,2010-05-04,,,,0.0,9
2010-04-20,2010-04-27,2010-05-11,,,,0.0,9
2010-04-27,2010-05-04,2010-05-18,,,,0.0,9
2010-05-04,2010-05-11,2010-05-25,,,,0.0,9
2010-05-11,2010-05-18,2010-06-01,,,,0.0,9
2010-05-18,2010-05-25,2010-06-08,,,,0.0,9
2010-05-25,2010-06-01,2010-06-15,,,,0.0,9
2010-06-01,2010-06-08,2010-06-22,,,,0.0,9
2010-06-08,2010-06-15,2010-06-29,,,,0.0,9
2010-06-15,2010-06-22,2010-07-06,,,,0.0,9
2010-06-22,2010-06-29,2010-07-13,,,,0.0,9
2010-06-29,2010-07-06,2010-07-20,,,,0.0,9
2010-07-06,2010-07-13,2010-07-27,,,,0.0,9
2010-07-13,2010-07-20,2010-08-03,,,,0.1111111111111111,9
2010-07-20,2010-07-27,2010-08-10,,,,0.1111111111111111,9
2010-07-27,2010-08-03,2010-08-17,,,,0.1111111111111111,9
2010-08-03,2010-08-10,2010-08-24,0.2142857142857143,0.13680555555555557,0.0,0.0,9
2010-08-10,2010-08-17,2010-08-31,0.2142857142857143,0.13680555555555557,0.0,0.0,9
2010-08-17,2010-08-24,2010-09-07,0.07142857142857145,0.12251984126984126,0.0,0.0,9
2010-08-24,2010-08-31,2010-09-14,,,,0.0,9
2010-08-31,2010-09-07,2010-09-21,,,,0.0,9
2010-09-07,2010-09-14,2010-09-28,,,,0.0,9
2010-09-14,2010-09-21,2010-10-05,,,,0.0,9
2010-09-21,2010-09-28,2010-10-12,,,,0.0,9
2010-09-28,2010-10-05,2010-10-19,,,,0.0,9
2010-10-05,2010-10-12,2010-10-26,,,,0.0,9
2010-10-12,2010-10-19,2010-11-02,,,,0.0,9
2010-10-19,2010-10-26,2010-11-09,,,,0.0,9
2010-10-26,2010-11-02,2010-11-16,,,,0.0,9
2010-11-02,2010-11-09,2010-11-23,,,,0.0,9
2010-11-09,2010-11-16,2010-11-30,,,,0.0,9
2010-11-16,2010-11-23,2010-12-07,,,,0.1111111111111111,9
2010-11-23,2010-11-30,2010-12-14,,,,0.1111111111111111,9
2010-11-30,2010-12-07,2010-12-21,0.375,0.08333333333333333,0.0,0.0,9
2010-12-07,2010-12-14,2010-12-28,0.625,0.125,0.0,0.125,9
2010-12-14,2010-12-21,2011-01-04,0.7142857142857142,0.2875,0.0,0.14285714285714285,9
2010-12-21,2010-12-28,2011-01-11,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2010-12-28,2011-01-04,2011-01-18,0.9444444444444444,0.9027777777777777,0.0,0.0,9
2011-01-04,2011-01-11,2011-01-25,0.8,0.8660714285714286,0.0,0.0,9
2011-01-11,2011-01-18,2011-02-01,0.6111111111111112,0.8282738095238095,0.0,0.0,9
2011-01-18,2011-01-25,2011-02-08,0.8571428571428571,0.9662698412698412,0.14285714285714285,0.0,9
2011-01-25,2011-02-01,2011-02-15,0.5,0.5088888888888888,0.2,0.25,9
2011-02-01,2011-02-08,2011-02-22,0.45,0.3723214285714286,0.25,0.2,9
2011-02-08,2011-02-15,2011-03-01,0.1428571428571429,0.13392857142857142,0.0,0.2857142857142857,9
2011-02-15,2011-02-22,2011-03-08,0.2,0.30406746031746035,0.25,0.2,9
2011-02-22,2011-03-01,2011-03-15,0.3333333333333333,0.25595238095238093,0.0,0.16666666666666666,9
2011-03-01,2011-03-08,2011-03-22,0.7,0.519345238095238,0.0,0.0,9
2011-03-08,2011-03-15,2011-03-29,0.6428571428571428,0.24583333333333335,0.0,0.0,9
2011-03-15,2011-03-22,2011-04-05,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2011-03-22,2011-03-29,2011-04-12,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2011-03-29,2011-04-05,2011-04-19,0.6499999999999999,0.7399305555555555,0.0,0.0,9
2011-04-05,2011-04-12,2011-04-26,0.5499999999999999,0.4482638888888889,0.0,0.0,9
2011-04-12,2011-04-19,2011-05-03,0.55,0.4202380952380953,0.0,0.0,9
2011-04-19,2011-04-26,2011-05-10,0.7,0.65,0.0,0.0,9
2011-04-26,2011-05-03,2011-05-17,0.75,0.8163095238095237,0.0,0.0,9
2011-05-03,2011-05-10,2011-05-24,0.6666666666666666,0.8740079365079365,0.0,0.0,9
2011-05-10,2011-05-17,2011-05-31,0.6111111111111112,0.8365079365079365,0.0,0.0,9
2011-05-17,2011-05-24,2011-06-07,0.35,0.4550793650793651,0.0,0.0,9
2011-05-24,2011-05-31,2011-06-14,0.19999999999999998,0.2933531746031746,0.0,0.0,9
2011-05-31,2011-06-07,2011-06-21,0.1428571428571429,0.13392857142857142,0.0,0.0,9
2011-06-07,2011-06-14,2011-06-28,0.5714285714285714,0.5982142857142857,0.0,0.0,9
2011-06-14,2011-06-21,2011-07-05,0.875,0.25,0.0,0.0,9
2011-06-21,2011-06-28,2011-07-12,0.875,0.25,0.0,0.0,9
2011-06-28,2011-07-05,2011-07-19,,,,0.0,9
2011-07-05,2011-07-12,2011-07-26,,,,0.0,9
2011-07-12,2011-07-19,2011-08-02,,,,0.0,9
2011-07-19,2011-07-26,2011-08-09,,,,0.0,9
2011-07-26,2011-08-02,2011-08-16,,,,0.0,9
2011-08-02,2011-08-09,2011-08-23,,,,0.0,9
2011-08-09,2011-08-16,2011-08-30,,,,0.0,9
2011-08-16,2011-08-23,2011-09-06,,,,0.0,9
2011-08-23,2011-08-30,2011-09-13,,,,0.0,9
2011-08-30,2011-09-06,2011-09-20,,,,0.0,9
2011-09-06,2011-09-13,2011-09-27,,,,0.0,9
2011-09-13,2011-09-20,2011-10-04,,,,0.0,9
2011-09-20,2011-09-27,2011-10-11,,,,0.0,9
2011-09-27,2011-10-04,2011-10-18,0.125,0.0625,0.0,0.0,9
2011-10-04,2011-10-11,2011-10-25,0.125,0.0625,0.0,0.0,9
2011-10-11,2011-10-18,2011-11-01,0.0,0.11805555555555555,0.0,0.0,9
2011-10-18,2011-10-25,2011-11-08,1.0,1.0,0.0,0.0,9
2011-10-25,2011-11-01,2011-11-15,0.875,0.25,0.0,0.0,9
2011-11-01,2011-11-08,2011-11-22,0.875,0.25,0.0,0.0,9
2011-11-08,2011-11-15,2011-11-29,0.4285714285714286,0.18154761904761904,0.0,0.0,9
2011-11-15,2011-11-22,2011-12-06,0.5555555555555556,0.5517857142857143,0.0,0.0,9
2011-11-22,2011-11-29,2011-12-13,0.4444444444444444,0.28234126984126984,0.0,0.0,9
2011-11-29,2011-12-06,2011-12-27,0.35,0.5717460317460317,0.0,0.0,9
2011-12-06,2011-12-13,2012-01-03,0.39999999999999997,0.5279761904761905,0.0,0.0,9
2011-12-13,2011-12-27,2012-01-10,0.4,0.35868055555555556,0.0,0.0,9
2011-12-27,2012-01-03,2012-01-17,0.5,0.2992063492063492,0.0,0.0,9
2012-01-03,2012-01-10,2012-01-24,0.25,0.31418650793650793,0.0,0.0,9
2012-01-10,2012-01-17,2012-01-31,0.4,0.5817857142857144,0.0,0.0,9
2012-01-17,2012-01-24,2012-02-07,0.5555555555555556,0.7246031746031746,0.0,0.0,9
2012-01-24,2012-01-31,2012-02-14,0.7142857142857143,0.9004251700680272,0.0,0.0,9
2012-01-31,2012-02-07,2012-02-21,0.5,0.7642857142857142,0.0,0.0,9
2012-02-07,2012-02-14,2012-02-28,0.6,0.45476190476190476,0.0,0.0,9
